"id","text","answer","a","b","c","d"
"1","What is the primary characteristic of a linear data structure?","Data is stored in a sequential manner.","Data is stored in a hierarchical manner.","Data is stored in a sequential manner.","Data is stored in a random manner.","Data is stored in a circular manner."
"2","Which data structure follows the Last In, First Out (LIFO) principle?","Stack","Queue","Stack","Array","Linked List"
"3","What is the time complexity for accessing an element by index in an array?","O(1)","O(n)","O(log n)","O(1)","O(n log n)"
"4","Which type of linked list has nodes with pointers to both the next and previous nodes?","Doubly Linked List","Singly Linked List","Doubly Linked List","Circular Linked List","Array"
"5","Which data structure is commonly used for implementing function call management?","Stack","Queue","Stack","Array","Linked List"
"6","What is the primary use of a hash table?","Implementing associative arrays","Storing hierarchical data","Implementing associative arrays","Managing function calls","Storing sequential data"
"7","Which type of tree is used to efficiently store and manage databases and file systems?","B-tree","Binary Tree","Binary Search Tree","AVL Tree","B-tree"
"8","What is the time complexity for insertion in a balanced binary search tree?","O(log n)","O(n)","O(log n)","O(1)","O(n log n)"
"9","Which data structure is used for implementing breadth-first search (BFS) algorithms?","Queue","Stack","Queue","Array","Linked List"
"10","What is the primary characteristic of a min-heap?","Parent node has a value less than or equal to its children.","Parent node has a value greater than or equal to its children.","Parent node has a value less than or equal to its children.","Nodes are connected in a circular manner.","Nodes are connected in a sequential manner."
