"id","text","answer","a","b","c","d"
"1","Given a vector space V and a linear transformation T: V → V, how would you apply T to the vector u = [2, 3] if T is represented by the matrix A = [[1, 0], [0, 1]]?","[2, 3]","[2, 3]","[3, 2]","[1, 1]","[0, 0]"
"2","How would you use matrix multiplication to find the product of matrices A = [[1, 2], [3, 4]] and B = [[2, 0], [1, 2]]?","[[4, 4], [10, 8]]","[[4, 4], [10, 8]]","[[2, 4], [6, 8]]","[[4, 4], [10, 10]]","[[4, 4], [9, 10]]"
"3","If a matrix A has a determinant of 0, what can you apply to determine if A is invertible?","A is not invertible.","A is not invertible.","A is invertible.","A is singular.","A is non-singular."
"4","How would you apply the concept of eigenvalues to determine if a matrix A = [[2, 1], [1, 2]] is diagonalizable?","Find the eigenvalues and check if there are two distinct eigenvalues.","Find the eigenvalues and check if there are two distinct eigenvalues.","Check if the determinant is non-zero.","Find the inverse of the matrix.","Check if the trace of the matrix is zero."
"5","How would you use the properties of linear transformations to show that T: R^2 → R^2 defined by T(x, y) = (2x, 3y) is a linear transformation?","Show that T preserves vector addition and scalar multiplication.","Show that T preserves vector addition and scalar multiplication.","Show that T maps vectors to the origin.","Show that T is invertible.","Show that T has a non-zero determinant."
"6","How would you apply the concept of linear independence to determine if the vectors v1 = [1, 2] and v2 = [2, 4] are linearly independent?","Check if one vector is a scalar multiple of the other.","Check if one vector is a scalar multiple of the other.","Check if their dot product is zero.","Check if their cross product is zero.","Check if their sum is zero."
"7","How would you use the concept of matrix inversion to solve the system of equations represented by A = [[1, 2], [3, 4]] and b = [5, 6]?","Find the inverse of A and multiply it by b.","Find the inverse of A and multiply it by b.","Find the determinant of A and multiply it by b.","Transpose A and multiply it by b.","Add A and b."
"8","How would you apply the concept of eigenvectors to determine the eigenvector of the matrix A = [[2, 0], [0, 3]] corresponding to the eigenvalue 2?","[1, 0]","[1, 0]","[0, 1]","[1, 1]","[2, 3]"
"9","How would you use the properties of determinants to find the determinant of the matrix A = [[1, 2], [3, 4]]?","-2","-2","2","0","1"
"10","How would you apply the concept of vector spaces to determine if the set of vectors {[1, 0], [0, 1]} forms a basis for R^2?","Check if the vectors are linearly independent and span R^2.","Check if the vectors are linearly independent and span R^2.","Check if the vectors are orthogonal.","Check if the vectors are equal.","Check if the vectors are parallel."
