"id","text","answer","a","b","c","d"
"1","What is the normal range for adult human body temperature in degrees Celsius?","36.1 - 37.2","36.1 - 37.2","35.0 - 36.0","37.5 - 38.5","34.0 - 35.0"
"2","Which organ is primarily responsible for filtering blood and producing urine?","Kidney","Kidney","Liver","Heart","Lungs"
"3","What is the primary function of hemoglobin in the blood?","To transport oxygen","To transport oxygen","To fight infections","To clot blood","To digest food"
"4","Which vitamin is essential for the absorption of calcium in the body?","Vitamin D","Vitamin D","Vitamin C","Vitamin B12","Vitamin K"
"5","What is the main function of the alveoli in the lungs?","Gas exchange","Gas exchange","Blood filtration","Nutrient absorption","Hormone production"
"6","Which part of the brain is responsible for regulating heart rate and breathing?","Medulla oblongata","Medulla oblongata","Cerebellum","Hypothalamus","Cerebrum"
"7","What is the primary function of insulin in the body?","To regulate blood sugar levels","To regulate blood sugar levels","To aid in digestion","To fight infections","To transport oxygen"
"8","Which type of blood vessel carries blood away from the heart?","Arteries","Arteries","Veins","Capillaries","Lymphatic vessels"
"9","What is the primary function of the large intestine?","Water absorption","Water absorption","Protein digestion","Nutrient absorption","Hormone production"
"10","Which element is essential for the production of thyroid hormones?","Iodine","Iodine","Iron","Calcium","Magnesium"
