"id","text","answer","a","b","c","d"
"1","Given the matrix A = [[1, 2], [3, 4]], apply the matrix multiplication to find the product of A and the vector v = [1, 1].","[3, 7]","[3, 7]","[1, 1]","[2, 4]","[5, 11]"
"2","Apply the Gaussian elimination method to solve the system of equations: 2x + 3y = 5 and 4x + 6y = 10.","Infinite solutions","No solution","Infinite solutions","x = 1, y = 1","x = 0, y = 0"
"3","Use the determinant to determine if the matrix A = [[2, 3], [4, 6]] is invertible.","No, because the determinant is zero","Yes, because the determinant is non-zero","No, because the determinant is zero","Yes, because the matrix is square","No, because the matrix is not square"
"4","Apply the concept of eigenvalues to determine which of the following is an eigenvalue of the matrix A = [[4, 1], [2, 3]].","5","5","3","2","1"
"5","Use the concept of linear independence to determine if the vectors v1 = [1, 2] and v2 = [2, 4] are linearly independent.","No, they are linearly dependent","Yes, they are linearly independent","No, they are linearly dependent","Yes, because they are not multiples of each other","No, because they are orthogonal"
"6","Apply the Gram-Schmidt process to orthogonalize the set of vectors {v1 = [1, 1], v2 = [1, -1]}. What is the resulting orthogonal set?","{[1, 1], [0, -2]}","{[1, 1], [1, -1]}","{[1, 1], [0, -2]}","{[1, 1], [1, 0]}","{[1, 1], [0, 1]}"
"7","Use the concept of vector spaces to determine if the set of vectors {[1, 0], [0, 1], [1, 1]} forms a basis for R^2.","No, because they are not linearly independent","Yes, because they span R^2","No, because they do not span R^2","Yes, because they are linearly independent","No, because they are not linearly independent"
"8","Apply the concept of matrix rank to determine the rank of the matrix A = [[1, 2, 3], [4, 5, 6], [7, 8, 9]].","2","3","2","1","0"
"9","Use the concept of linear transformations to determine the image of the vector v = [1, 2] under the transformation T(x, y) = (2x + y, x - y).","[3, -1]","[4, -1]","[3, -1]","[2, 1]","[1, 2]"
"10","Apply the concept of orthogonal projection to find the projection of the vector v = [3, 4] onto the vector u = [1, 0].","[3, 0]","[3, 0]","[0, 4]","[1, 0]","[3, 4]"
