"id","text","answer","a","b","c","d"
"1","What is the determinant of a 2x2 matrix with elements a, b, c, and d?","ad - bc","ad - bc","ab - cd","ac - bd","a + b + c + d"
"2","What is the identity matrix for a 2x2 matrix?","[1 0; 0 1]","[1 0; 0 1]","[0 1; 1 0]","[1 1; 1 1]","[0 0; 0 0]"
"3","What is the rank of a matrix?","The number of non-zero rows in its row echelon form","The number of non-zero rows in its row echelon form","The number of columns in the matrix","The number of rows in the matrix","The sum of all elements in the matrix"
"4","What is a vector space?","A set of vectors that is closed under vector addition and scalar multiplication","A set of vectors that is closed under vector addition and scalar multiplication","A set of vectors that is closed under matrix multiplication","A set of vectors that is closed under vector subtraction","A set of vectors that is closed under dot product"
"5","What is the transpose of a matrix?","A new matrix obtained by swapping rows and columns","A new matrix obtained by swapping rows and columns","A new matrix obtained by multiplying each element by -1","A new matrix obtained by adding a constant to each element","A new matrix obtained by reversing the order of elements"
"6","What is an eigenvalue of a matrix?","A scalar such that there exists a non-zero vector for which the matrix times the vector equals the scalar times the vector","A scalar such that there exists a non-zero vector for which the matrix times the vector equals the scalar times the vector","A scalar such that the matrix times the scalar equals zero","A scalar such that the matrix times the scalar equals the identity matrix","A scalar such that the matrix times the scalar equals the transpose of the matrix"
"7","What is the trace of a square matrix?","The sum of the elements on the main diagonal","The sum of the elements on the main diagonal","The product of the elements on the main diagonal","The sum of all elements in the matrix","The determinant of the matrix"
"8","What is a basis of a vector space?","A set of linearly independent vectors that span the vector space","A set of linearly independent vectors that span the vector space","A set of vectors that are all orthogonal to each other","A set of vectors that are all parallel to each other","A set of vectors that are all equal in magnitude"
"9","What is the null space of a matrix?","The set of all vectors that, when multiplied by the matrix, result in the zero vector","The set of all vectors that, when multiplied by the matrix, result in the zero vector","The set of all vectors that, when multiplied by the matrix, result in the identity matrix","The set of all vectors that, when multiplied by the matrix, result in the transpose of the matrix","The set of all vectors that, when multiplied by the matrix, result in the determinant of the matrix"
"10","What is the inverse of a matrix?","A matrix that, when multiplied by the original matrix, results in the identity matrix","A matrix that, when multiplied by the original matrix, results in the identity matrix","A matrix that, when multiplied by the original matrix, results in the zero matrix","A matrix that, when multiplied by the original matrix, results in the transpose of the original matrix","A matrix that, when multiplied by the original matrix, results in the determinant of the original matrix"
