"id","text","answer","a","b","c","d"
"1","What is the primary purpose of a data structure?","To organize and store data efficiently","To organize and store data efficiently","To compile code","To execute programs","To debug errors"
"2","Which data structure uses a LIFO (Last In, First Out) principle?","Stack","Stack","Queue","Linked List","Tree"
"3","What is the time complexity of accessing an element in an array by index?","O(1)","O(1)","O(n)","O(log n)","O(n^2)"
"4","Which data structure is best suited for implementing a priority queue?","Heap","Heap","Stack","Array","Linked List"
"5","What is the main advantage of a linked list over an array?","Dynamic size","Dynamic size","Faster access time","Less memory usage","Simpler implementation"
"6","Which data structure is used to implement recursion?","Stack","Stack","Queue","Tree","Graph"
"7","What is the worst-case time complexity of searching for an element in a binary search tree (BST)?","O(n)","O(n)","O(log n)","O(1)","O(n log n)"
"8","Which data structure is used in Breadth-First Search (BFS) algorithm?","Queue","Queue","Stack","Heap","Linked List"
"9","What is the primary characteristic of a circular queue?","The last position is connected back to the first position","The last position is connected back to the first position","It follows LIFO principle","It uses a linked list","It is always sorted"
"10","Which data structure is used to implement a graph?","Adjacency list","Adjacency list","Stack","Queue","Heap"
